screen_code,group,n,rmse,point_spearman,rank_spearman,ndcg,hit_recall_5pct,regret_5pct,normalized_regret_5pct,hit_recall_10pct,regret_10pct,normalized_regret_10pct,hit_recall_20pct,regret_20pct,normalized_regret_20pct,source,model,seed,fold_index,split,delivery_target,model_type,route_of_administration,cargo_type,experiment_id,library_id,prediction_rows,delivery_target_display,model_type_display,route_of_administration_display,cargo_type_display
S01,screen:LM_3CR_LM_3CR_dendritic_cell_BMDM_in_vitro,12,0.9952733187461614,0.2727272727272727,0.7902097902097903,0.9448746086254612,0.0,0.3309131860733032,0.113518392087126,0.0,0.3309131860733032,0.113518392087126,0.6666666666666666,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,dendritic_cell,BMDM,in_vitro,mRNA,LM_3CR,LM_3CR,12,Dendritic cell,BMDM,In vitro,mRNA
S02,screen:Li_enzyme_catalyzed_Li_enzyme_catalyzed_generic_cell_HEK293T_in_vitro,144,0.98170361675343,0.5457884132438577,0.6631092054655363,0.5259873180438751,0.125,5.6396156549453735,0.738562088977861,0.3333333333333333,4.017602205276489,0.5261437762711875,0.5172413793103449,0.0,0.0,ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,generic_cell,HEK293T,in_vitro,mRNA,Li_enzyme_catalyzed,Li_enzyme_catalyzed,144,Generic cell,HEK293T,In vitro,mRNA
S03,screen:Lee_unsat_dendrimer_Lee_unsat_dendrimer_generic_cell_IGROV1_in_vitro,84,0.915018608632091,0.5336609502798099,0.4550604118219208,0.9017968144167828,0.4,0.0,0.0,0.2222222222222222,0.0,0.0,0.4117647058823529,0.0,0.0,ablation_results\20260903_092831\results.json,A115_dual_rank_residual,20260725,2,test,generic_cell,IGROV1,in_vitro,mRNA,Lee_unsat_dendrimer,Lee_unsat_dendrimer,84,Generic cell,IGROV1,In vitro,mRNA
S04,screen:Miller_zwitter_lipids_Miller_ZAL_generic_cell_HeLa_in_vitro,72,1.007623200500195,-0.0976042005321119,0.3181558105903274,0.7334486780032969,0.0,1.6184884905815125,0.5,0.125,0.0,0.0,0.5333333333333333,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,generic_cell,HeLa,in_vitro,siRNA,Miller_zwitter_lipids,Miller_ZAL,72,Generic cell,HeLa,In vitro,siRNA
S05,screen:Chen_disulfide_Chen_disulfide_generic_cell_IGROV1_in_vitro,100,0.908009056107264,0.4485004219570817,0.2666126108707701,0.9406640695043236,0.2,0.0,0.0,0.1,0.0,0.0,0.35,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,generic_cell,IGROV1,in_vitro,mRNA,Chen_disulfide,Chen_disulfide,100,Generic cell,IGROV1,In vitro,mRNA
S06,screen:Whitehead_siRNA_whitehead_lipidoid_generic_cell_nan_in_vitro,1150,0.9878970190369146,0.3320267757603943,0.2284445704215924,0.8502591156690642,0.1379310344827586,0.2579975128173828,0.0443169470139894,0.2,0.2545771598815918,0.0437294235213428,0.3695652173913043,0.0,0.0,ablation_results\20260903_092831\results.json,A115_dual_rank_residual,20260725,2,test,generic_cell,,in_vitro,siRNA,Whitehead_siRNA,whitehead_lipidoid,1150,Generic cell,Not reported,In vitro,siRNA
S07,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro,1470,1.0204408678213497,0.2023507319712402,0.2181640312487372,0.7962109359805158,0.2162162162162162,0.0,0.0,0.272108843537415,0.0,0.0,0.391156462585034,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,generic_cell,HeLa,in_vitro,siRNA,Zhou_dendrimer,Zhou_dendrimer,1470,Generic cell,HeLa,In vitro,siRNA
S08,screen:LM_3CR_LM_3CR_generic_cell_HeLa_in_vitro,1080,0.98730710141627,0.3207338547350809,0.2022253645995808,0.9332835885986958,0.2962962962962963,0.0,0.0,0.324074074074074,0.0,0.0,0.3518518518518518,0.0,0.0,ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,test,generic_cell,HeLa,in_vitro,mRNA,LM_3CR,LM_3CR,1080,Generic cell,HeLa,In vitro,mRNA
S09,screen:AGILE_3CR_Agile_3CR_generic_cell_HeLa_in_vitro,1100,1.0109616293010184,-0.0297651965397842,0.1962821228625501,0.9469255218816588,0.0545454545454545,0.5360628366470337,0.0967742233995226,0.1727272727272727,0.5360628366470337,0.0967742233995226,0.2863636363636364,0.2233593463897705,0.0403225625956374,ablation_results\20260903_093354\results.json,A115_dual_rank_residual,20260727,4,test,generic_cell,HeLa,in_vitro,mRNA,AGILE_3CR,Agile_3CR,1100,Generic cell,HeLa,In vitro,mRNA
S10,screen:Liu_Phospholipids_Liu_iPhos_generic_cell_IGROV1_in_vitro,572,1.0292712209276194,0.0122359697299071,0.1843442772309346,0.8752926418406811,0.3448275862068966,0.0,0.0,0.5517241379310345,0.0,0.0,0.4608695652173913,0.0,0.0,ablation_results\20260903_092831\results.json,A115_dual_rank_residual,20260725,2,test,generic_cell,IGROV1,in_vitro,mRNA,Liu_Phospholipids,Liu_iPhos,572,Generic cell,IGROV1,In vitro,mRNA
