case_code,selection_rule,screen,fraction_inspected,candidates_inspected,normalized_regret,color
C1,Highest-ranking case,A549 formulation screen,0.006369426751592357,1,0.1941272839673502,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.012738853503184714,2,0.1941272839673502,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.01910828025477707,3,0.1941272839673502,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.025477707006369428,4,0.1941272839673502,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.03184713375796178,5,0.1941272839673502,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.03821656050955414,6,0.1941272839673502,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.044585987261146494,7,0.1941272839673502,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.050955414012738856,8,0.1941272839673502,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.05732484076433121,9,0.1941272839673502,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.06369426751592357,10,0.17944537911061326,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.07006369426751592,11,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.07643312101910828,12,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.08280254777070063,13,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.08917197452229299,14,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.09554140127388536,15,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.10191082802547771,16,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.10828025477707007,17,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.11464968152866242,18,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.12101910828025478,19,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.12738853503184713,20,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.1337579617834395,21,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.14012738853503184,22,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.1464968152866242,23,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.15286624203821655,24,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.1592356687898089,25,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.16560509554140126,26,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.17197452229299362,27,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.17834394904458598,28,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.18471337579617833,29,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.1910828025477707,30,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.19745222929936307,31,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.20382165605095542,32,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.21019108280254778,33,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.21656050955414013,34,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.2229299363057325,35,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.22929936305732485,36,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.2356687898089172,37,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.24203821656050956,38,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.2484076433121019,39,0.0,#2A9D8F
C1,Highest-ranking case,A549 formulation screen,0.25477707006369427,40,0.0,#2A9D8F
C2,Median-ranking case,LM three-component-reaction screen,0.000925925925925926,1,0.6510505345169314,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.001851851851851852,2,0.5742656054319087,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.002777777777777778,3,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.003703703703703704,4,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.004629629629629629,5,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.005555555555555556,6,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.006481481481481481,7,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.007407407407407408,8,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.008333333333333333,9,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.009259259259259259,10,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.010185185185185186,11,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.011111111111111112,12,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.012037037037037037,13,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.012962962962962963,14,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.013888888888888888,15,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.014814814814814815,16,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.01574074074074074,17,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.016666666666666666,18,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.017592592592592594,19,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.018518518518518517,20,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.019444444444444445,21,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.020370370370370372,22,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.021296296296296296,23,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.022222222222222223,24,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.023148148148148147,25,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.024074074074074074,26,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.025,27,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.025925925925925925,28,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.026851851851851852,29,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.027777777777777776,30,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.028703703703703703,31,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.02962962962962963,32,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.030555555555555555,33,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.03148148148148148,34,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.032407407407407406,35,0.0,#4C78A8
C2,Median-ranking case,LM three-component-reaction screen,0.03333333333333333,36,0.0,#4C78A8
