model,size_stratum,screens,rows,mean_per_screen_spearman,ci_low,ci_high
DeepLNP,Small (<100),17,795,0.23844929723983313,0.1034544378788637,0.3671945103935195
DeepLNP,Medium (100-499),12,3000,0.233605539894817,0.07109622118701285,0.4102433298612301
DeepLNP,Large (>=500),9,8897,0.16926036051279175,0.10777534120534274,0.23185133228008467
Metadata Extra Trees,Small (<100),11,578,0.18903005052289631,0.05466226437830971,0.3246731475289316
Metadata Extra Trees,Medium (100-499),4,805,0.25526100398368634,-0.18439708565177587,0.5237361945032347
Metadata Extra Trees,Large (>=500),3,3198,0.07912187218692554,-0.2770922005557961,0.48843565488632795
Ionizable Morgan Extra Trees,Small (<100),17,795,0.3364216396873064,0.13328166140803127,0.526685666133646
Ionizable Morgan Extra Trees,Medium (100-499),12,3000,0.19129789365308483,0.05974701113446552,0.3144655539066603
Ionizable Morgan Extra Trees,Large (>=500),9,8897,0.13449289745043178,0.05802905872861258,0.20662325140384963
Validation-selected hybrid,Small (<100),17,795,0.3209511011823588,0.11953564562040479,0.5161732800751065
Validation-selected hybrid,Medium (100-499),12,3000,0.21183517530149285,0.06787574148391579,0.3533874107226973
Validation-selected hybrid,Large (>=500),9,8897,0.14894271839093692,0.08088674903794119,0.22286765727990654
