source,model,seed,fold_index,split,n,groups,rmse,point_spearman,within_group_spearman,within_group_ndcg,pair_accuracy,within_group_spearman_ci_low,within_group_spearman_ci_high,within_group_ndcg_ci_low,within_group_ndcg_ci_high,within_group_hit_recall_5pct,within_group_hit_recall_5pct_ci_low,within_group_hit_recall_5pct_ci_high,within_group_normalized_regret_5pct,within_group_normalized_regret_5pct_ci_low,within_group_normalized_regret_5pct_ci_high,within_group_regret_5pct,within_group_hit_recall_10pct,within_group_hit_recall_10pct_ci_low,within_group_hit_recall_10pct_ci_high,within_group_normalized_regret_10pct,within_group_normalized_regret_10pct_ci_low,within_group_normalized_regret_10pct_ci_high,within_group_regret_10pct,within_group_hit_recall_20pct,within_group_hit_recall_20pct_ci_low,within_group_hit_recall_20pct_ci_high,within_group_normalized_regret_20pct,within_group_normalized_regret_20pct_ci_low,within_group_normalized_regret_20pct_ci_high,within_group_regret_20pct,model_display,model_short
ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,2548,8,1.004497763195361,0.2704269081915258,0.2710735945040038,0.7670825454054464,0.6252744710011375,0.048943355046242,0.496591500571893,0.6655443584309202,0.8658360207823108,0.0904885654885654,0.025,0.1788461538461538,0.3505623303610492,0.1315790499124516,0.5903371926586465,1.4961908739060163,0.1105098770277341,0.0332270408163265,0.2029429945054944,0.2880623303610492,0.0765789525409339,0.5111612494374005,1.2938798125833273,0.3536711800104657,0.2370443730376766,0.4810457548403974,0.0,0.0,0.0,0.0,DeepLNP,DeepLNP
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260723,0,test,2548,8,0.9852285082458654,0.1632377218395281,0.230066793394144,0.7525131282394175,0.612874935073551,-0.0398698294197667,0.4992606063179933,0.6449409102225538,0.8678119219149698,0.21502079002079,0.0288461538461538,0.4556457900207887,0.3444295655243135,0.11875,0.5899038461538462,1.4973155451144402,0.2063808215593929,0.0812193386970172,0.3375011446886447,0.2256795655243134,0.0357757193704673,0.4735576923076923,0.8567662802792007,0.3090512166405024,0.1500955406200942,0.4907684948979591,0.0608917622493325,0.0,0.1762763776339479,0.252050312040281,Ionizable Morgan Extra Trees,Morgan ET
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test,2548,8,1.0111297145445486,-0.0760849391447231,0.2011141357655351,0.737138468742291,0.4509172226204557,0.0675306633993554,0.3327606978663807,0.6548208346469642,0.825263564973978,0.1538591476091476,0.0533783783783783,0.2730899168399168,0.3516997680055795,0.1234814368009354,0.6231835198411646,1.2732547565279797,0.1068861198325484,0.0407509157509157,0.1706174777603349,0.3001053616528144,0.0576923076923076,0.5578599536428839,1.0672205047083057,0.2218308477237048,0.1177066980638409,0.3263572736787022,0.2670721233927074,0.0546815872932102,0.521770351799897,0.9359899329535428,Metadata Extra Trees,Metadata ET
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260723,0,test,2548,8,1.0048878639127743,-0.0128890056896797,0.230066793394144,0.7525131313914271,0.612874935073551,-0.0398698294197667,0.4992606063179933,0.6449409137187412,0.8678119243766106,0.21502079002079,0.0288461538461538,0.4556457900207887,0.3444295646245653,0.1187500005621088,0.5899038511835566,1.4973156217020005,0.2063808215593929,0.0812193386970172,0.3375011446886447,0.2256795640624564,0.0357757193397688,0.4735576902365879,0.8567663196008652,0.3090512166405024,0.1500955406200942,0.4907684948979591,0.0608917616611575,0.0,0.1762763787125512,0.2520503252744674,Validation-selected hybrid,Hybrid
ablation_results\20260903_092511\results.json,A115_dual_rank_residual,20260724,1,test,2532,7,1.0070634851299731,0.0612351225946481,0.2987139804559783,0.8361514932232964,0.5955285651367453,0.1502706220313152,0.4582000107134974,0.7273586035806305,0.910941785228741,0.08390218156228,0.0306122448979591,0.1410450387051372,0.2519009482012883,0.1039211680248777,0.4316251808071357,1.5777850236211504,0.2057940417546328,0.1488212526389866,0.2734811165845648,0.1467964012366283,0.0437290220717723,0.2883545451338915,0.967911754335676,0.290272402064274,0.2134119897959183,0.3725387784424114,0.0663520762915407,0.0126582621773099,0.1297340656154518,0.3658593211855207,DeepLNP,DeepLNP
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260724,1,test,2532,7,1.052104492043296,0.1993899182753109,0.3032615894210212,0.8430378515097173,0.5857310584412074,0.1474818104860261,0.439470377424042,0.7230461013904684,0.9247278696454408,0.1327234342012667,0.0285714285714285,0.2755119634060521,0.2518015029608215,0.0942739098715562,0.4589106030170429,1.620866455322303,0.1844944874501524,0.1066269352568613,0.2551020408163265,0.2019535066358535,0.0593624036256556,0.4235990172154074,1.3554266822194847,0.2962980882007975,0.2334495953553835,0.3601254618226601,0.1537510786976066,0.0165149198409092,0.3863217499466859,1.1081235579986155,Ionizable Morgan Extra Trees,Morgan ET
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260724,1,test,2532,7,0.949774039253999,0.3072584036856176,0.2209939989711687,0.8165919706576855,0.4931434702262741,-0.1817615953002013,0.4884356548863279,0.6850741370481648,0.91157033622213,0.2905934787708186,0.1167810227539291,0.5453553835327234,0.2082180255682289,0.0353837721719698,0.4349318577908008,1.4685846745633522,0.3195460942997888,0.1622249589490968,0.562613183204316,0.2082180255682289,0.0353837721719698,0.4349318577908008,1.4685846745633522,0.3065813394323246,0.1922252521698334,0.4349877580342482,0.1814145388203897,0.0085802854241306,0.4167086564670924,1.331465782408649,Metadata Extra Trees,Metadata ET
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260724,1,test,2532,7,0.9567192754195676,0.2835528220037911,0.3194753913726403,0.8513853713258996,0.5995924605196128,0.1815764916878867,0.4587449616218392,0.7362763139996559,0.921066407377796,0.0660450387051372,0.0153061224489795,0.1256861365235749,0.2485037716566782,0.0936147691155568,0.4561080442312856,1.6019703234945024,0.2026917663617171,0.1531892153413089,0.2566326530612244,0.1771418744804388,0.0437290220717723,0.3760711334262424,1.1996279614312308,0.305553600750645,0.2345209506216279,0.3674999999999999,0.0620218733286542,0.0126582621773099,0.1156288466661416,0.3437624658857073,Validation-selected hybrid,Hybrid
ablation_results\20260903_092831\results.json,A115_dual_rank_residual,20260725,2,test,2537,7,0.9982362953679292,0.1136283514399979,0.1905809045059273,0.8182647057132453,0.5866413373484749,0.0883814233950486,0.3037850402472782,0.7202688032383252,0.885536730654773,0.1261083743842364,0.0197044334975369,0.2541871921182266,0.2395357496268922,0.0726049206940928,0.457817172989285,1.0559369793960027,0.2148927700651838,0.1042478354978354,0.3449370552818828,0.1560937743199313,0.0385952622073599,0.2950976633343194,0.6861425978796822,0.29977026383676,0.1974682382834557,0.3879543378616267,0.1005607576003807,0.0066273978431447,0.2199245414157816,0.4532215765544346,DeepLNP,DeepLNP
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260725,2,test,2537,7,0.9546512330183105,0.2788991600167769,0.2749808145760884,0.8362185126037929,0.5975479309586685,0.0372348266463206,0.5353841677622904,0.7243438024118798,0.9169492948926248,0.2255908842115738,0.0886699507389162,0.395183360700602,0.1732216607571637,0.0066273932253313,0.404124026892049,0.7734407044265461,0.3172093225096136,0.1627321948269562,0.4815682722364307,0.1235976004053849,0.0066273932253313,0.2869679436365511,0.5559110049809494,0.3595177201315308,0.2103265021423589,0.5127289334706214,0.1169702071800535,0.0,0.2500537044119925,0.524414909268916,Ionizable Morgan Extra Trees,Morgan ET
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260725,2,test,2537,7,0.9804041341944882,0.1315920468414049,0.090799122651602,0.7930416963051738,0.1264905472071462,-0.2495102095818272,0.4479990904607518,0.6816287029866545,0.8749477638630012,0.10282131661442,0.0197044334975369,0.2171965965069408,0.215437681393016,0.033617610878695,0.465374514326738,0.9612767617280652,0.1716304058309526,0.0976023638295443,0.2550638776931879,0.1106208920174993,0.0314543761978023,0.2195344541716101,0.4979894538624859,0.2367409018943545,0.1229437229437229,0.343776032151991,0.1001378431466107,0.0142158005127009,0.2027204074895389,0.4481696982865791,Metadata Extra Trees,Metadata ET
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260725,2,test,2537,7,0.9781970345004573,0.232122656044839,0.2749808145760884,0.8362185150796456,0.5975479309586685,0.0372348266463206,0.5353841677622904,0.7243438051364824,0.9169492965278032,0.2255908842115738,0.0886699507389162,0.395183360700602,0.1732216666712058,0.0066273978431447,0.4041240380499995,0.773440705878394,0.3172093225096136,0.1627321948269562,0.4815682722364307,0.1235976098230402,0.0066273978431447,0.2869679560037501,0.5559110300881522,0.3595177201315308,0.2103265021423589,0.5127289334706214,0.1169702119798955,0.0,0.2500537196786356,0.5244149139949253,Validation-selected hybrid,Hybrid
ablation_results\20260903_093125\results.json,A115_dual_rank_residual,20260726,3,test,2541,8,1.0027187165119054,0.134775612794455,0.2185446481798888,0.873720860435766,0.5560669667247243,0.0616882356917336,0.3806946793670537,0.807964418274171,0.9287297961246492,0.0665824915824915,0.0045454545454545,0.149074074074074,0.2468117794092028,0.0811735889197331,0.4643560719359482,0.8902244418859482,0.1532460016835016,0.0482394255050505,0.2901094276094276,0.2219505612355145,0.067093929827057,0.4606586212909794,0.7553981617093086,0.2535594035594035,0.1386302759740259,0.3577208844396344,0.1894436846503689,0.027832720157405,0.4395439520821729,0.6463209018111229,DeepLNP,DeepLNP
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260726,3,test,2541,8,1.0042775183006143,0.1183434849436086,0.1742335155325289,0.864022593296919,0.5468491690257204,-0.0273780184932211,0.3864908906086513,0.7860883028347124,0.9332199968960856,0.1253998316498316,0.0318181818181818,0.2347222222222222,0.3151829390693954,0.0925071602862699,0.5566500571117485,1.110968172078966,0.2372790404040404,0.1215277777777777,0.3472222222222222,0.1957853242193266,0.0334908225661755,0.4446425815970174,0.7124425216764663,0.2962602212602213,0.1334701178451178,0.4483806818181818,0.1951881486390743,0.0329085763754296,0.4443471045320551,0.7098579693073696,Ionizable Morgan Extra Trees,Morgan ET
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260726,3,test,2541,8,1.0044310901353188,0.0405045809057749,0.1682931498762813,0.8312869352255228,0.0027821633400836,-0.2039347308579719,0.4196489353642663,0.7725398037871128,0.8861494464168554,0.0455492424242424,0.009090909090909,0.0924573863636361,0.4347201879938554,0.1513955236666621,0.763212517229177,1.5695451767934654,0.0762731481481481,0.025,0.1350694444444444,0.3591425594524041,0.107482028606188,0.6522677069303582,1.2145410708433486,0.0903435395622895,0.025,0.1545454545454545,0.3084987292615731,0.0521231724261943,0.5781820170474716,0.9460146298083238,Metadata Extra Trees,Metadata ET
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260726,3,test,2541,8,1.0038449914500245,0.0917873896234555,0.1742335155325289,0.8640225925709671,0.5468491690257204,-0.0273780184932211,0.3864908906086513,0.7860883036537306,0.9332199960298856,0.1253998316498316,0.0318181818181818,0.2347222222222222,0.3151829441336752,0.0925071480004214,0.5566500560532492,1.1109681650996208,0.2372790404040404,0.1215277777777777,0.3472222222222222,0.1957853274089142,0.0334908237837863,0.4446425888597005,0.7124425172805786,0.2962602212602213,0.1334701178451178,0.4483806818181818,0.1951881530696215,0.032908578802976,0.4443471107350146,0.7098579704761505,Validation-selected hybrid,Hybrid
ablation_results\20260903_093354\results.json,A115_dual_rank_residual,20260727,4,test,2534,8,1.002001135981153,0.0050451417449219,0.1297797050282014,0.8136140640063922,0.5472330326452735,-0.0615727722654175,0.3466682076407984,0.6796016489066821,0.9076753078755772,0.0936237373737373,0.0068181818181818,0.2186237373737373,0.294855378523478,0.1341703451797357,0.4855320027947127,1.4395720846951008,0.2043894901069196,0.1472981439530735,0.2538046452642623,0.1908837174386631,0.0551324734574094,0.3761255571581585,1.0405987054109571,0.3242501727536939,0.2195513993049204,0.4266284512631342,0.1390645864901635,0.015184138830727,0.2963978001012376,0.7574655264616013,DeepLNP,DeepLNP
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Ionizable Morgan + metadata / Extra Trees,20260727,4,test,2534,8,1.0140860149058275,0.0938563163546394,0.2428849220227451,0.8411028284431339,0.5455041664712976,-0.0015515584624335,0.4787609173478475,0.7033451542391498,0.9385398860757098,0.1954229797979798,0.0547979797979798,0.3318805239898986,0.2063153527745019,0.0298268599414893,0.4493975067196752,1.1143611374753244,0.2609554886623548,0.1369524572649572,0.3800390235986626,0.1974221899255157,0.0175670636822393,0.4423594774755475,1.0861957496403836,0.3381989697020506,0.2119553804836595,0.4819364875331534,0.1957630554440238,0.0173210844507593,0.4473256245601356,1.078418085018313,Ionizable Morgan Extra Trees,Morgan ET
method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260727,4,test,2534,8,0.9929950741673066,0.0188854149375373,0.3038088617949603,0.8081693599780443,0.0094570662896343,0.210553172017554,0.4178809297874412,0.6966059706516883,0.8902372424625595,0.0965277777777777,0.00625,0.2180555555555555,0.343827457639284,0.1337029528103196,0.5871385511857715,1.55922095006316,0.136166222763934,0.0426682692307692,0.2611682682902974,0.2935746661560925,0.1059705238612975,0.4867717824728108,1.3272274053023554,0.2371159882273438,0.1201204186927118,0.3558291442944282,0.2651254359296879,0.0923954598189218,0.4633809799648379,1.2006034662016511,Metadata Extra Trees,Metadata ET
method\benchmark_results\dual_head_hybrid_postfix_20260903_093428,validation_selected_neural_tree_hybrid,20260727,4,test,2534,8,0.9982763936818464,0.0321498831929509,0.2428849220227451,0.8411028297084009,0.5455041664712976,-0.0015515584624335,0.4787609173478475,0.7033451572596086,0.9385398862259968,0.1954229797979798,0.0547979797979798,0.3318805239898986,0.2063153478006124,0.0298268703635703,0.4493975000989788,1.1143610938452184,0.2609554886623548,0.1369524572649572,0.3800390235986626,0.1974221896703023,0.0175670656787612,0.442359474282442,1.086195723619312,0.3381989697020506,0.2119553804836595,0.4819364875331534,0.1957630550862281,0.0173210855588788,0.4473256275953843,1.0784180583432317,Validation-selected hybrid,Hybrid
