split,group_id,group_key_sha256,rows,source,efficacy,particle_size,zeta_potential,pdi,encapsulation,toxicity
test,G005,fa2869c6dfd91831aef67188d68ad922aca65f6bf8afba4e2066a340acfdf85f,2,LNP_Atlas,0,2,0,2,2,0
test,G013,ad168db821a4228d03d7128deef149673cc5b320890c4567db9b9f234ef1bc2a,1,LNP_Atlas,0,1,1,1,0,0
test,G014,df665e632b5992583da1778501d2da12c34ace12db6325a1c8f678dd2295930d,1,LNP_Atlas,0,1,0,0,0,0
test,G017,8a3c454b65700e6c0bc9bcd07ec750a2dfb156eb5f82f5877e6baedf29e79cf6,4,LNP_Atlas,0,3,0,3,4,4
test,G018,c7c205049755bfb1397a842e3d53b1833b02500d4e72352204e8d09d0e7fd839,2,LNP_Atlas,0,2,2,2,2,0
test,G026,c73fa0bb4c82ffba735c76aa8177393038aa4302bf93a3d76434c87b425ea0f4,26,LNP_ML,26,0,0,0,0,0
test,G035,51b4bbebfdbd059f7d1d74e48c8a8253e25f5b2bd42794ab9779a7f9a5a50375,1,LNP_ML,1,0,0,0,0,0
test,G037,e4c0a07dd0535716e32a00073a095f2cddead76c2468f9259f69b6af6b3109cc,27,LNP_ML,27,0,0,0,0,0
test,G038,5e97f3179f3df09c3d6e7f5c87fb673279c33d843eb5da525d739db3807b3f29,31,LNP_ML,31,0,0,0,0,0
test,G053,6efc314143e4edd74a62d45a517f5d9d0ace897a5c864e85a882db51454eeda9,13,LNP_ML,13,0,0,0,0,0
training,G002,6949cf1fb9955f200615229855bc8c022c4d093801cbfdb513ae7c91d26dbda5,1,LNP_Atlas,0,1,0,1,1,0
training,G003,5b469782be8297297283c45028103dbf72960b41756342004a63fe47723fc68d,1,LNP_Atlas,0,1,1,1,1,0
training,G008,bfd9c82a038b822192bf900281944d8a67134946537c2bb126cbeae0d6963377,2,LNP_Atlas,0,2,0,2,0,0
training,G010,3df4ae7f6198d63b0e225972a327e11db073e1abf0f963d31934aad7f1f6145d,4,LNP_Atlas,0,4,0,4,0,0
training,G011,7f737e131d2bba59ed2de68348fedd8fa7459a608d07d653d8573ad6ae13da71,2,LNP_Atlas,0,2,2,2,2,0
training,G012,c65fa7d063ba812a54de04f73cae0f970fdc43d7949e99e354f97ac0fd5dab42,2,LNP_Atlas,0,2,0,2,0,0
training,G015,0f13b18feab73267958fb025ce19f486208fc77ea7b37e3646101edd8cacecf7,1,LNP_Atlas,0,1,1,1,1,0
training,G016,7d8a93d11e9c8940abac939c0bf44f0d6c938ae9978b4ea0d8cfc4a1caa86fc5,1,LNP_Atlas,0,1,1,1,1,0
training,G019,6e537dbee789cdbd9e616c5cc5775f5f6e21f249afbca4ece299e06ddb2e8d05,2,LNP_Atlas,0,2,0,2,2,0
training,G020,a699610a0d2428164dfbcdf1e2689e18186aef321fbe4919b96a3f20f4eec24a,1,LNP_Atlas,0,1,0,1,0,0
training,G021,671e1bc1e028b53bd8b5c118a48a6b83887672be08552d4ea42f926168d92721,95,LNP_Atlas,0,95,95,95,95,95
training,G022,7c9cccc7800e1b14a7e828dfff13475046e476a14284a2a7977d67f87433a2d7,1,LNP_Atlas,0,1,0,1,0,0
training,G023,4f8f1684c501238b8b8bcbec308f689b6ee2cb9c32e97f5cd93d895cdf091196,1,LNP_Atlas,0,1,0,0,0,0
training,G024,d3e76a6eacd45e385218e48e90c6cabe78a5e1f57022cac3ec1d412663120ba1,2,LNP_Atlas,0,2,0,2,2,0
training,G025,3a7bb27cb25f4d555e46df617b6b2bb3dabdd67dd9b56b6dd1588d184a5b6bc0,1,LNP_Atlas,0,1,0,0,1,0
training,G027,e15cc8e6e3c3fd5e82925f5d53bd06a6c8a0cecb34169c771ea68f91c506b246,51,LNP_ML,51,0,0,0,0,0
training,G028,da90ef346ab3ab03fcbfb9364ddd710703c19b1b769b617cd83dfab1fdcf32a6,6,LNP_ML,6,0,0,0,0,0
training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,61,LNP_ML,61,0,0,0,0,0
training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,43,LNP_ML,43,0,0,0,0,0
training,G031,efda46f30d9e2c8196de5e65ca0fc73215ca7cbccec5e48a4aaf84d76e361465,21,LNP_ML,21,0,0,0,0,0
training,G033,bbc314ddcaecc6c2ec39d635bebc581e1d73f7fcba5f34b05f4ffd48ca6447b6,8,LNP_ML,8,0,0,0,0,0
training,G034,cfad4770845f8e3399267a856d2e480cc26466c7c32a09d96d5a69d7aca15ba1,3,LNP_ML,3,0,0,0,0,0
training,G036,2820a7fa5b5483f2e947545f345339da833b85904eac56b9f08165d2c401cd40,4,LNP_ML,4,0,0,0,0,0
training,G039,951e5d02c9e7922d649b6fd758058c54de56bb2829f478c680e733a6ead3bc36,3,LNP_ML,3,0,0,0,0,0
training,G040,8478654b5059ada4fd1b42e15697440070dc623f775304072b058cc6e3916e48,1,LNP_ML,1,0,0,0,0,0
training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,46,LNP_ML,46,0,0,0,0,0
training,G042,c41e09d12aecadc06c33d081fbb35ca577675e07b4370127c6a37bcf7befddb8,8,LNP_ML,8,0,0,0,0,0
training,G043,3b6bca6ee03330339c32916b0a53b570c41a94f66a354c35994c2491b4c12c35,6,LNP_ML,6,0,0,0,0,0
training,G044,62f44f14ea35ef7328dbb396cbe47c5bbde53cc0d830a132e4dd33dddb134d67,6,LNP_ML,6,0,0,0,0,0
training,G046,a18c68a9f46854b1965ecf27a7348129876e513e694554b604e7723a24d8b351,25,LNP_ML,25,0,0,0,0,0
training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,33,LNP_ML,33,0,0,0,0,0
training,G050,15fcf9898e3f9da60bfd0d8ef2ef537ddefaf80375661c194c30c907be063903,3,LNP_ML,3,0,0,0,0,0
training,G051,d5692af7034f403dd1390ab8d6fa724b9808b3f8635f12752ddf0e9c8c908599,2,LNP_ML,2,0,0,0,0,0
training,G052,b37b0e39cd4f7d16388d2a38b8c468a6c7007d3e702438806e42dd8707934c2f,6,LNP_ML,6,0,0,0,0,0
training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,64,LNP_ML,64,0,0,0,0,0
training,G055,13fd3d5f0d855c9b785cf92a85bb99b31c03082814e366943aebbf7a5c9f90f7,6,LNP_ML,6,0,0,0,0,0
