row_index,split,group_id,group_key_sha256,source,target_class,has_efficiency,has_particle_size,has_zeta_potential,has_pdi,has_encapsulation,has_toxicity
0,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
1,training,G054,f46113dec8501b2fbab18f16556060361bd056e02937eec13fc4939fffddf6df,LNP_ML,generic_cell,True,False,False,False,False,False
2,training,G003,5b469782be8297297283c45028103dbf72960b41756342004a63fe47723fc68d,LNP_Atlas,lung,False,True,True,True,True,False
3,training,G056,45e59895219065e084f1f3c102a02b88dfee45730a0411d01cde69d4137c8edf,LNP_ML,generic_cell,True,False,False,False,False,False
4,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
5,training,G048,4f025592182de35f74f08aad9c3a8123385a76fea1f91328a49c00d212892558,LNP_ML,generic_cell,True,False,False,False,False,False
6,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
7,training,G036,2820a7fa5b5483f2e947545f345339da833b85904eac56b9f08165d2c401cd40,LNP_ML,muscle,True,False,False,False,False,False
9,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
10,training,G019,6e537dbee789cdbd9e616c5cc5775f5f6e21f249afbca4ece299e06ddb2e8d05,LNP_Atlas,other,False,True,False,True,True,False
11,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
12,training,G041,81db608a013a0aa8dd006fb003f882db2c383a739d5cff70f9228de109c231ef,LNP_ML,generic_cell,True,False,False,False,False,False
13,training,G055,13fd3d5f0d855c9b785cf92a85bb99b31c03082814e366943aebbf7a5c9f90f7,LNP_ML,liver,True,False,False,False,False,False
14,training,G028,da90ef346ab3ab03fcbfb9364ddd710703c19b1b769b617cd83dfab1fdcf32a6,LNP_ML,lung_epithelium,True,False,False,False,False,False
15,training,G030,078c8228b1ea4706c86fac1ecf66d78a84959a8f2d83cb014c2768d4a54684ef,LNP_ML,macrophage,True,False,False,False,False,False
16,training,G029,94e002c3584f7b20f33cd919fdbf02025fda03a20f62802e48aed01e2912c742,LNP_ML,generic_cell,True,False,False,False,False,False
17,training,G057,b4e3b12613ee20a6fcd87651eb2579a43ea43a5c1d6d775c3996c0e7f3c4b661,LNP_ML,generic_cell,True,False,False,False,False,False
