group,n,rmse,point_spearman,rank_spearman,ndcg,hit_recall_5pct,regret_5pct,normalized_regret_5pct,hit_recall_10pct,regret_10pct,normalized_regret_10pct,hit_recall_20pct,regret_20pct,normalized_regret_20pct,source,model,seed,fold_index,split
screen:A549_form_screen_RM_Michael_addition_branched_lung_epithelium_A549_in_vitro,1156,0.9798986749856157,0.23828631775344775,0.2393874037814488,0.945242809352785,0.034482758620689655,0.15291273593902588,0.029462712307355126,0.14655172413793102,0.15291273593902588,0.029462712307355126,0.22844827586206898,0.10793840885162354,0.02079721003865335,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,val
screen:IR_4CR_ketone_4CR_Ketone_muscle_Mouse_intramuscular,71,1.0388512780140433,-0.20879130098742535,-0.1837739044990509,0.901900213504674,0.0,0.8526285886764526,0.21864881476840708,0.0,0.741662323474884,0.19019252947862697,0.06666666666666667,0.1533064842224121,0.03931404777732812,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,val
screen:IR_BL_AG_3CR_sting_IR_3CR_sting_generic_cell_HeLa_in_vitro,480,1.0469169206787192,-0.1471421062068605,0.071607819115403,0.8634417798576569,0.0,1.8054418563842773,0.3099246189457277,0.16666666666666666,0.41521763801574707,0.07127682776741022,0.3541666666666667,0.28795504570007324,0.049430757072854575,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,val
screen:IR_BL_AG_4CR_IR_4CR_aldehyde_generic_cell_HeLa_in_vitro,560,1.0007284369642122,-0.03331779308634924,-0.02476650710917425,0.8971534430358101,0.17857142857142858,2.2701199054718018,0.3134697252262955,0.25,1.3475277423858643,0.18607349775769547,0.25,0.9930377006530762,0.13712370629091367,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,val
screen:Li_enzyme_catalyzed_Li_enzyme_catalyzed_generic_cell_HEK293T_in_vitro,144,0.9672866095089101,0.48105222564365524,0.6938643136971078,0.614194519717199,0.25,4.017602920532227,0.5261438042292267,0.4,4.017602920532227,0.5261438042292267,0.6551724137931034,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,val
screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_spleen_Mouse_intravenous,97,0.9909434935580478,0.3370787994345639,0.38690165060976806,0.8952306552053549,0.2,1.1414949893951416,0.22313515013947996,0.2,1.1414949893951416,0.22313515013947996,0.25,1.1414949893951416,0.22313515013947996,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,val
screen:Zhou_dendrimer_Zhou_dendrimer_liver_Mouse_intravenous,24,1.02603082007787,-0.22251948007103262,0.1791235648704578,0.7450996710339844,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,val
screen:A549_form_screen_RM_Michael_addition_branched_lung_epithelium_A549_in_vitro,1156,0.825771976919032,0.554916368479859,0.554916368479859,0.9700528917932584,0.25862068965517243,0.0,0.0,0.35344827586206895,0.0,0.0,0.4482758620689655,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,val
screen:IR_4CR_ketone_4CR_Ketone_muscle_Mouse_intramuscular,71,1.002126050520727,-0.09759195670386203,-0.09759195670386203,0.8980684411339507,0.0,0.9863493592613697,0.2529402897161891,0.125,0.34552932383009183,0.08860784108023428,0.13333333333333333,0.23421382682477843,0.0600619979689148,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,val
screen:IR_BL_AG_3CR_sting_IR_3CR_sting_generic_cell_HeLa_in_vitro,480,1.0000573600758198,,,0.8634197777464072,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.3020833333333333,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,val
screen:IR_BL_AG_4CR_IR_4CR_aldehyde_generic_cell_HeLa_in_vitro,560,1.0000573600758198,,,0.8980610599961973,0.10714285714285714,2.7976252777891615,0.3863103620103548,0.26785714285714285,2.7976252777891615,0.3863103620103548,0.13392857142857142,2.7976252777891615,0.3863103620103548,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,val
screen:Li_enzyme_catalyzed_Li_enzyme_catalyzed_generic_cell_HEK293T_in_vitro,144,1.0001521782111487,,,0.4536589516949834,0.0,6.288421372246603,0.8235294117634588,0.13333333333333333,6.288421372246603,0.8235294117634588,0.20689655172413793,6.288421372246603,0.8235294117634588,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,val
screen:Raj_Jacob_ML_branched_ester_RM_Michael_addition_branched_spleen_Mouse_intravenous,97,0.9164569826659502,0.48674248167376954,0.48674248167376954,0.9211972585630448,0.2,0.9598322450829211,0.187624407234874,0.3,0.0,0.0,0.35,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,val
screen:Zhou_dendrimer_Zhou_dendrimer_liver_Mouse_intravenous,24,1.0054641175320254,,,0.7483990932562883,1.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,val
