model,analysis,estimate,ci_low,ci_high,screens,largest_screen
DeepLNP,Unweighted screens,0.2205328362218445,0.13803492753215046,0.30404091026580515,38,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
DeepLNP,Size-weighted rows,0.19494510400312448,0.13392963143490058,0.253340241038305,38,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
DeepLNP,Exclude largest screen,0.22059685797787443,0.13786224107512854,0.30778166598188966,37,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
Metadata Extra Trees,Unweighted screens,0.18543001045818788,0.04849720357625958,0.31622314219192577,18,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
Metadata Extra Trees,Size-weighted rows,0.19707125509415846,-0.024138459747046485,0.4381330030573672,18,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
Metadata Extra Trees,Exclude largest screen,0.1948069427068904,0.047101457006935854,0.32900145955527954,17,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
Ionizable Morgan Extra Trees,Unweighted screens,0.24276785988355556,0.14114506369620433,0.34422861324477766,38,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
Ionizable Morgan Extra Trees,Size-weighted rows,0.1842571248639119,0.12717424571023075,0.24184956313952433,38,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
Ionizable Morgan Extra Trees,Exclude largest screen,0.24400623645207742,0.14140784494609518,0.3499446248256713,37,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
Validation-selected hybrid,Unweighted screens,0.24575461287464329,0.14303171572414494,0.3469242076854909,38,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
Validation-selected hybrid,Size-weighted rows,0.19013486148316083,0.1334368513165596,0.24989532069976766,38,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
Validation-selected hybrid,Exclude largest screen,0.2470737124969783,0.14293460868217256,0.3514176378331667,37,screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro
