group,n,rmse,point_spearman,rank_spearman,ndcg,hit_recall_5pct,regret_5pct,normalized_regret_5pct,hit_recall_10pct,regret_10pct,normalized_regret_10pct,hit_recall_20pct,regret_20pct,normalized_regret_20pct,source,model,seed,fold_index,split,model_display,size_stratum
screen:Akinc_Michael_addition_Akinc_Michael_generic_cell_HeLa_in_vitro,487,1.0132081358097038,0.1439026624782073,0.0914007545064496,0.5028692881110348,0.0,4.376218318939209,0.7500000204301895,0.0408163265306122,4.376218318939209,0.7500000204301895,0.173469387755102,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,DeepLNP,Medium (100-499)
screen:Chen_disulfide_Chen_disulfide_generic_cell_IGROV1_in_vitro,100,0.908009056107264,0.4485004219570817,0.2666126108707701,0.9406640695043236,0.2,0.0,0.0,0.1,0.0,0.0,0.35,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,DeepLNP,Medium (100-499)
screen:IR_4CR_ketone_4CR_Ketone_lung_epithelium_HBEC_ALI_in_vitro,28,1.0399097828913482,-0.3727534143127994,-0.3266765673918242,0.7260033185984976,0.0,2.5391993150115013,0.6153846152457172,0.0,2.5391993150115013,0.6153846152457172,0.1666666666666666,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,DeepLNP,Small (<100)
screen:LM_3CR_LM_3CR_dendritic_cell_BMDM_in_vitro,12,0.9952733187461614,0.2727272727272727,0.7902097902097903,0.9448746086254612,0.0,0.3309131860733032,0.113518392087126,0.0,0.3309131860733032,0.113518392087126,0.6666666666666666,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,DeepLNP,Small (<100)
screen:Miller_zwitter_lipids_Miller_ZAL_generic_cell_HeLa_in_vitro,72,1.007623200500195,-0.0976042005321119,0.3181558105903274,0.7334486780032969,0.0,1.6184884905815125,0.5,0.125,0.0,0.0,0.5333333333333333,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,DeepLNP,Small (<100)
screen:Sanofi_goods_Sanofi_goods_muscle_Mouse_intramuscular,260,0.9370695369208192,0.7121963099325983,0.6719916743288069,0.8851554206345288,0.3076923076923077,0.1120030879974365,0.0255956250836853,0.3461538461538461,0.1120030879974365,0.0255956250836853,0.4230769230769231,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,DeepLNP,Medium (100-499)
screen:Yan_aza_michael_Yan_aza_michael_generic_cell_IGROV1_in_vitro,119,0.9800100207658784,0.1619254023336109,0.1387306516689736,0.6074340437859123,0.0,2.9927045926451683,0.799999990041676,0.0,2.9927045926451683,0.799999990041676,0.125,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,DeepLNP,Medium (100-499)
screen:Zhou_dendrimer_Zhou_dendrimer_generic_cell_HeLa_in_vitro,1470,1.0204408678213497,0.2023507319712402,0.2181640312487372,0.7962109359805158,0.2162162162162162,0.0,0.0,0.272108843537415,0.0,0.0,0.391156462585034,0.0,0.0,ablation_results\20260903_092154\results.json,A115_dual_rank_residual,20260723,0,test,DeepLNP,Large (>=500)
screen:Akinc_Michael_addition_Akinc_Michael_generic_cell_HeLa_in_vitro,487,1.028741271032399,,,0.5077882388174177,0.4,0.0,0.0,0.2040816326530612,0.0,0.0,0.3163265306122449,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test,Metadata Extra Trees,Medium (100-499)
screen:Chen_disulfide_Chen_disulfide_generic_cell_IGROV1_in_vitro,100,0.9239458560617678,0.4350068764117593,0.4350068764117593,0.9745164328898752,0.4,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.0,method\benchmark_results\matched_baselines_20260902_171216\predictions.csv,Metadata only / Extra Trees,20260723,0,test,Metadata Extra Trees,Medium (100-499)
